Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402_1005Metric",133.040000,-95.245000,90.000000,bottom
"C2","22pF","C_0402_1005Metric",142.670000,-100.820000,180.000000,bottom
"C3","22pF","C_0402_1005Metric",142.640000,-106.390000,0.000000,bottom
"D1","D","D_SOD123",33.320000,-52.010000,90.000000,bottom
"D2","D","D_SOD123",52.370000,-52.000000,90.000000,bottom
"D3","D","D_SOD123",71.410000,-51.990000,90.000000,bottom
"D4","D","D_SOD123",90.400000,-51.890000,90.000000,bottom
"D5","D","D_SOD123",109.520000,-51.910000,90.000000,bottom
"D6","D","D_SOD123",128.570000,-51.940000,90.000000,bottom
"D7","D","D_SOD123",147.640000,-51.980000,90.000000,bottom
"D8","D","D_SOD123",166.700000,-51.980000,90.000000,bottom
"D9","D","D_SOD123",185.750000,-51.980000,90.000000,bottom
"D10","D","D_SOD123",204.730000,-51.920000,90.000000,bottom
"D11","D","D_SOD123",223.840000,-51.980000,90.000000,bottom
"D12","D","D_SOD123",242.880000,-51.920000,90.000000,bottom
"D13","D","D_SOD123",269.070000,-51.920000,90.000000,bottom
"D14","D","D_SOD123",35.690000,-71.030000,90.000000,bottom
"D15","D","D_SOD123",57.090000,-71.000000,90.000000,bottom
"D16","D","D_SOD123",76.190000,-71.030000,90.000000,bottom
"D17","D","D_SOD123",95.230000,-71.050000,90.000000,bottom
"D18","D","D_SOD123",114.270000,-71.030000,90.000000,bottom
"D19","D","D_SOD123",133.330000,-71.040000,90.000000,bottom
"D20","D","D_SOD123",152.420000,-71.050000,90.000000,bottom
"D21","D","D_SOD123",171.470000,-71.030000,90.000000,bottom
"D22","D","D_SOD123",190.490000,-71.040000,90.000000,bottom
"D23","D","D_SOD123",209.550000,-71.030000,90.000000,bottom
"D24","D","D_SOD123",228.600000,-71.010000,90.000000,bottom
"D25","D","D_SOD123",247.640000,-71.020000,90.000000,bottom
"D26","D","D_SOD123",271.450000,-71.030000,90.000000,bottom
"D27","D","D_SOD123",40.440000,-90.080000,90.000000,bottom
"D28","D","D_SOD123",66.630000,-90.060000,90.000000,bottom
"D29","D","D_SOD123",85.690000,-90.090000,90.000000,bottom
"D30","D","D_SOD123",104.760000,-90.050000,90.000000,bottom
"D31","D","D_SOD123",123.780000,-90.060000,90.000000,bottom
"D32","D","D_SOD123",142.850000,-90.090000,90.000000,bottom
"D33","D","D_SOD123",161.900000,-90.090000,90.000000,bottom
"D34","D","D_SOD123",181.000000,-90.050000,90.000000,bottom
"D35","D","D_SOD123",200.040000,-90.080000,90.000000,bottom
"D36","D","D_SOD123",219.080000,-90.040000,90.000000,bottom
"D37","D","D_SOD123",238.120000,-90.040000,90.000000,bottom
"D38","D","D_SOD123",257.220000,-90.100000,90.000000,bottom
"D39","D","D_SOD123",276.250000,-90.100000,90.000000,bottom
"D40","D","D_SOD123",35.630000,-109.090000,90.000000,bottom
"D41","D","D_SOD123",59.470000,-109.110000,90.000000,bottom
"D42","D","D_SOD123",83.250000,-109.100000,90.000000,bottom
"D43","D","D_SOD123",116.610000,-109.100000,90.000000,bottom
"D44","D","D_SOD123",164.250000,-109.160000,90.000000,bottom
"D45","D","D_SOD123",199.960000,-109.150000,90.000000,bottom
"D46","D","D_SOD123",219.060000,-109.150000,90.000000,bottom
"D47","D","D_SOD123",238.130000,-109.150000,90.000000,bottom
"D48","D","D_SOD123",257.180000,-109.130000,90.000000,bottom
"D49","D","D_SOD123",276.200000,-109.140000,90.000000,bottom
"F1","Fuse","Fuse_0603_1608Metric",244.820000,-45.280000,90.000000,bottom
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Palconn_UTC16-G",249.920000,-39.370000,0.000000,bottom
"R1","22","R_0402_1005Metric",250.670000,-45.290000,90.000000,bottom
"R2","22","R_0402_1005Metric",249.170000,-45.280000,90.000000,bottom
"R3","10k","R_0402_1005Metric",142.290000,-99.300000,180.000000,bottom
"R4","10k","R_0402_1005Metric",127.060000,-109.450000,270.000000,bottom
"R5","5.1k","R_0402_1005Metric",251.680000,-47.355000,90.000000,bottom
"R6","5.1k","R_0402_1005Metric",247.860000,-47.330000,90.000000,bottom
"SW1","SW_PUSH","SKQG-1155865",149.260000,-103.130000,270.000000,bottom
"U1","ATMEGA32U4","TQFP-44_10x10mm_Pitch0.8mm",133.050000,-103.250000,270.000000,bottom
"Y1","Crystal_GND24","Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm",142.640000,-103.600000,270.000000,bottom
